country/region,year,month,avg_confirmed,avg_recovered,avg_deaths,benua,jenis_seasons,season
Australia,2021,2,3612.4553571428573,2857.6428571428573,113.625,Australia/Oceania,Four Seasons,Winter
Australia,2021,3,3643.7459677419356,2870.0967741935483,113.625,Australia/Oceania,Four Seasons,Spring
Australia,2021,4,3690.4583333333335,2892.141666666667,113.70416666666667,Australia/Oceania,Four Seasons,Spring
Australia,2021,5,3746.9274193548385,2935.358870967742,113.75,Australia/Oceania,Four Seasons,Spring
Australia,2021,6,3789.8958333333335,2962.0666666666666,113.75,Australia/Oceania,Four Seasons,Summer
Australia,2021,7,4001.8870967741937,2991.407258064516,114.31854838709677,Australia/Oceania,Four Seasons,Summer
Australia,2021,8,5245.520161290323,389.6774193548387,120.60483870967742,Australia/Oceania,Four Seasons,Summer
Australia,2021,9,10157.029166666667,0.0,142.75833333333333,Australia/Oceania,Four Seasons,Autumn
Australia,2021,10,17789.354838709678,0.0,191.66532258064515,Australia/Oceania,Four Seasons,Autumn
Australia,2021,11,24068.666666666668,0.0,237.58333333333334,Australia/Oceania,Four Seasons,Autumn
Australia,2021,12,33015.9879032258,0.0,266.5806451612903,Australia/Oceania,Four Seasons,Winter
Australia,2022,1,205997.43548387097,0.0,354.40725806451616,Australia/Oceania,Four Seasons,Winter
Australia,2022,2,367433.28125,0.0,582.3169642857143,Australia/Oceania,Four Seasons,Winter
Australia,2022,3,477348.62096774194,0.0,707.7217741935484,Australia/Oceania,Four Seasons,Spring
Australia,2022,4,627939.1796875,0.0,819.84375,Australia/Oceania,Four Seasons,Spring
Austria,2020,1,0.0,0.0,0.0,Europe,Four Seasons,Winter
Austria,2020,2,0.6551724137931034,0.0,0.0,Europe,Four Seasons,Winter
Austria,2020,3,2735.548387096774,93.0,20.193548387096776,Europe,Four Seasons,Spring
Austria,2020,4,13908.066666666668,8053.866666666667,388.76666666666665,Europe,Four Seasons,Spring
Austria,2020,5,16144.483870967742,14431.870967741936,628.1935483870968,Europe,Four Seasons,Spring
Austria,2020,6,17186.4,16051.9,683.1666666666666,Europe,Four Seasons,Summer
Austria,2020,7,19369.8064516129,17394.483870967742,709.5806451612904,Europe,Four Seasons,Summer
Austria,2020,8,23741.0,20806.645161290322,726.5483870967741,Europe,Four Seasons,Summer
Austria,2020,9,35295.433333333334,28369.0,760.8,Europe,Four Seasons,Autumn
